1,56,10
2,31,7
3,90,9
4,79,7
5,96,8
6,36,7
7,10,9
8,8,10
9,86,9
10,1,7
11,46,2
12,59,5
13,80,5
14,98,9
15,76,2
16,85,2
17,47,6
18,44,2
19,56,5
20,65,4
21,17,4
22,99,6
23,15,10
24,96,1
25,62,2
26,13,1
27,40,5
28,18,5
29,1,8
30,46,2
31,36,7
32,60,7
33,51,4
34,34,3
35,4,2
36,3,6
37,39,6
38,36,2
39,97,3
40,63,3
41,37,9
42,31,6
43,45,5
44,56,5
45,86,5
46,87,1
47,69,7
48,70,8
49,7,6
50,1,8
51,26,8
52,9,10
53,100,7
54,86,6
55,21,6
56,8,2
57,95,2
58,91,10
59,98,5
60,51,8
61,27,9
62,30,6
63,45,10
64,54,8
65,42,8
66,3,6
67,46,6
68,47,10
69,4,2
70,12,8
71,26,6
72,36,4
73,54,9
74,29,10
75,51,1
76,89,3
77,90,8
78,46,1
79,25,6
80,19,6
81,49,5
82,3,8
83,58,2
84,29,2
85,49,1
86,85,2
87,56,2
88,78,9
89,41,9
90,34,6
91,3,7
92,84,6
93,20,10
94,49,6
95,28,4
96,21,3
97,15,8
98,98,3
99,2,4
100,82,6
101,99,3
102,49,9
103,74,2
104,20,1
105,11,1
106,5,6
107,67,2
108,55,1
109,77,5
110,28,1
111,25,6
112,18,4
113,40,3
114,20,7
115,46,5
116,28,9
117,36,6
118,91,8
119,16,3
120,90,7
121,52,3
122,60,9
123,73,10
124,12,1
125,21,3
126,100,10
127,42,5
128,86,7
129,59,2
130,40,9
131,42,6
132,97,1
133,76,8
134,85,4
135,17,5
136,44,9
137,99,3
138,16,7
139,61,9
140,52,6
141,35,7
142,42,1
143,8,9
144,68,3
145,73,6
146,43,4
147,38,4
148,20,5
149,98,6
150,87,10
151,68,7
152,3,9
153,20,5
154,95,9
155,40,3
156,2,6
157,45,8
158,95,8
159,91,4
160,13,10
161,66,10
162,84,1
163,2,10
164,85,6
165,45,8
166,37,7
167,23,8
168,34,1
169,97,9
170,42,8
171,28,6
172,10,2
173,28,9
174,44,2
175,29,10
176,9,5
177,98,10
178,42,9
179,91,5
180,94,8
181,82,7
182,93,2
183,41,7
184,30,1
185,1,10
186,58,5
187,90,7
188,29,4
189,93,2
190,16,8
191,23,1
192,32,2
193,1,10
194,99,7
195,88,3
196,11,8
197,83,7
198,19,6
199,74,6
200,53,6
201,10,4
202,34,3
203,17,6
204,23,10
205,14,2
206,13,3
207,34,10
208,91,3
209,29,10
210,75,9
211,94,3
212,31,8
213,80,4
214,84,10
215,14,6
216,98,6
217,88,7
218,44,10
219,16,9
220,48,7
221,82,9
222,71,1
223,1,2
224,42,3
225,30,6
226,80,10
227,99,4
228,84,4
229,46,9
230,26,2
231,96,9
232,93,4
233,53,4
234,38,5
235,80,4
236,4,7
237,14,5
238,58,4
239,79,9
240,11,6
241,67,2
242,90,10
243,73,6
244,87,2
245,83,2
246,13,7
247,32,2
